depth,thickness,c20concentration,c20n,c20d2h,c20sem,c20totalunc,c22concentration,c22n,c22d2h,c22sem,c22totalunc,c24concentration,c24n,c24d2h,c24sem,c24totalunc,c26concentration,c26n,c26d2h,c26sem,c26totalunc,c28concentration,c28n,c28d2h,c28sem,c28totalunc,c30concentration,c30n,c30d2h,c30sem,c30totalunc,epsilon28-22,epsilon28-22uncertainty,epsilon28-24,epsilon28-24uncertainty,epsilon28-26,epsilon28-26uncertainty,epsilon26-24,epsilon26-24uncertainty,epsilon24-22,epsilon24-22uncertainty,aclc22-30,cpi22-30,brgdgtconctle,brgdgtconcsed,mbt5me_russel,gdgt0,gdgt0conctle,c20relativeabundance,c22relativeabundance,c24relativeabundance,c26relativeabundance,c28relativeabundance,c30relativeabundance
0,1,7.818,3,-252.005,2.771,4.073,33.971,3,-251.214,2.093,3.512,84.001,3,-250.33,2.064,3.546,64.899,3,-247.072,2.086,3.505,39.201,3,-241.581,2.053,3.507,7.136,nan,nan,nan,nan,12.865,0.001,11.671,0.001,7.293,0.001,4.346,0,1.18,8.11E-05,25.141,4.893,36265.911,24158.913,4.293,925.487,0.617,3.298,14.332,35.44,27.38,16.539,3.011
2,1,12.402,3,-240.716,3.78,4.198,53.669,3,-244.594,2.729,3.821,135.632,3,-241.187,2.044,3.524,108.992,3,-228.622,2.043,3.53,67.316,3,-228.286,2.043,3.53,12.974,3,-219.462,2.615,3.799,21.589,0.002,17.002,0.001,0.436,3.49E-05,16.559,0.001,4.51,0,25.209,5.029,74356.818,49495.978,4.033,3204.996,3.205,3.172,13.727,34.69,27.876,17.217,3.318
4,1,6.708,3,-248.661,2.992,4.38,27.858,3,-244.995,2.119,3.628,83.265,3,-246.29,2.047,3.498,76.449,3,-243.633,2.062,3.5,53.027,3,-237.567,2.118,3.522,11.427,nan,nan,nan,nan,9.838,0.001,11.574,0.001,8.021,0.001,3.525,0,-1.716,0,25.499,5.084,12192.787,9763.212,3.914,756.275,0.756,2.593,10.767,32.182,29.547,20.495,4.417
7,1,6.267,3,-246.81,3.069,4.128,18.532,3,-250.635,2.306,3.514,43.381,3,-250.007,2.099,3.543,37.302,3,-247.828,2.036,3.513,25.038,3,-240.737,2.148,3.502,6.694,nan,nan,nan,2.379,13.208,0.001,12.359,0.001,9.427,0.001,2.905,0,0.839,6.50E-05,25.358,3.948,27172.113,18085.804,4.147,701.824,0.702,4.568,13.506,31.616,27.185,18.247,4.878
12,1,6.35,3,-247.138,2.918,3.779,20.478,3,-249.514,2.119,3.512,49.793,3,-249.02,2.027,3.5,43.506,3,-246.309,2.026,3.488,29.623,3,-244.791,2.299,3.952,7.167,3,-232.695,2.573,3.794,6.294,0.001,5.631,0,2.015,0,3.609,0,0.659,4.56E-05,25.378,4.249,19526.343,12988.64,6.138,1290.845,1.291,4.047,13.05,31.732,27.725,18.878,4.567
14,1,7.368,3,-238.998,3.019,4.563,29.197,3,-237.359,2.97,5.11,94.197,3,-246.107,2.024,3.5,94.197,3,-243.229,2.049,3.501,65.578,3,-236.223,2.259,3.522,14.887,nan,nan,nan,nan,1.49,0,13.111,0.001,9.259,0.001,3.817,0,-11.47,0.001,25.616,5.511,35226.509,23400.099,3.97,2168.223,2.168,2.412,9.559,30.842,30.842,21.471,4.874
20,1,5.973,9,-246.56,2.917,7.656,25.01,3,-245.069,2.423,3.636,76.599,3,-246.301,2.031,3.498,74.695,3,-243.337,2.119,3.499,52.042,3,-235.739,2.044,3.518,11.113,nan,nan,nan,nan,12.359,0.001,14.013,0.001,10.042,0.001,3.932,0,-1.632,0,25.563,5.347,15309.093,12102.05,5.992,818.148,0.818,2.434,10.19,31.21,30.434,21.204,4.528
25,1,4.707,3,-240.782,2.869,4.093,19.205,3,-245.343,2.514,3.892,71.759,3,-247.017,2.063,3.567,79.41,3,-240.514,2.028,3.501,56.657,3,-239.894,2.086,3.602,12.56,3,-229.542,2.342,3.845,7.221,0.001,9.46,0.001,0.816,5.99E-05,8.636,0.001,-2.218,0,25.763,5.486,29744.277,19825.685,5.936,861.107,0.861,1.927,7.861,29.373,32.505,23.192,5.141
30,1,4.046,3,-250.608,2.4,3.992,11.064,3,-238.23,2.619,4.178,33.448,3,-242.429,2.023,3.494,37.289,3,-238.535,2.02,3.489,25.395,3,-237.563,2.147,3.711,6.484,3,-231.48,2.992,3.815,0.875,8.87E-05,6.422,0,1.276,9.79E-05,5.139,0,-5.512,0.001,25.697,4.493,29842.637,20057.827,4.577,2066.561,2.067,3.437,9.398,28.412,31.675,21.572,5.507
35,1,3.418,3,-248.284,2.667,4.198,7.778,3,-241.446,2.149,3.61,21.192,3,-245.364,2.027,3.5,21.527,3,-237.699,2.032,3.5,14.569,3,-228.291,2.036,3.51,4.843,nan,nan,nan,nan,17.342,0.001,22.623,0.002,12.342,0.001,10.156,0.001,-5.164,0,25.643,3.811,32757.739,21848.689,6.06,1575.213,1.575,4.661,10.607,28.901,29.358,19.868,6.605
