CoreName,MidpointDepth,TopDepth,Thickness,SamplingID,UBlabID,SamplingNotesAboutSedimentology,AquaticMossMacrofossilAbundance,MassDrySediment,MassTotalLipidExtract,peakAreaC20eicosenoicAcidMethylEster,peakAreaC20FattyAcidMethylEster,peakAreaC21FattyAcidMethylEster,peakAreaC22FattyAcidMethylEster,peakAreaC23FattyAcidMethylEster,peakAreaC24FattyAcidMethylEster,peakAreaC25FattyAcidMethylEster,peakAreaC26FattyAcidMethylEster,peakAreaC27FattyAcidMethylEster,peakAreaC28FattyAcidMethylEster,peakAreaC29FattyAcidMethylEster,peakAreaC30FattyAcidMethylEster,peakAreaC31FattyAcidMethylEster,peakAreaC32FattyAcidMethylEster,FAC20,FAC22,FAC24,FAC26,FAC28,FAC30,FAC32,ACL20to30,CPI20to30,IRMSSequenceNumber2018,SampleNumberIRMSSequence,nameIRMSsequence,d2HC20,stdevC20,analyticalUncC20,nC20,SEMC20,d2HC22,stdevC22,analyticalUncC22,nC22,SEMC22,d2HC24,stdevC24,analyticalUncC24,nC24,SEMC24,d2HC26,stdevC26,analyticalUncC26,nC26,SEMC26,d2HC28,stdevC28,analyticalUncC28,nC28,SEMC28,d2HC30,stdevC30,analyticalUncC30,nC30,SEMC30,epsilonC28-C22,uncEpsilonC28-C22,HPLCSampleID,MassC46StandardAdded,peakArea1302GDGT0,peakArea1300GDGT1,peakArea1300'OHGDGT0,peakArea1298GDGT2,peakArea1298'OHGDGT1,peakArea1298''2OHGDGT0,peakArea1296GDGT3,peakArea1296'OHGDGT2,peakArea1292GDGT4,peakArea1292'GDGT4',peakArea1050brGDGTIIIa5Me,peakArea1050'brGDGTIIIa6Me,peakArea1048brGDGTIIIb5Me,peakArea1048'brGDGTIIIb6Me,peakArea1048''HbrGDGTIIIb,peakArea1046brGDGTIIIc5Me,peakArea1046'brGDGTIIIc6Me,peakArea1036brGDGTIIa5Me,peakArea1036'brGDGTIIa6Me,peakArea1034brGDGTIIb5Me,peakArea1034'brGDGTIIb6Me,peakArea1034''HbrGDGTIIb,peakArea1032brGDGTIIc5Me,peakArea1032'brGDGTIIc6Me,peakArea1022brGDGTIa,peakArea1020brGDGTIb,peakArea1020'HbrGDGTIb,peakArea1018brGDGTIc,peakArea744InternalStandard,totaliGDGT,FAGDGT0,FAGDGT1,FAGDGT2,FAGDGT3,FAGDGT4,FAGDGT4',crenarchaeolConcentration,totalbrGDGTconcentration,totalOHGDGTconcentration,totalHGDGTconcentration,totalbrGDGTpeakArea,FAbrGDGTIIIa,FAbrGDGTIIIa',FAbrGDGTIIIb,FAbrGDGTIIIb',FAbrGDGTIIIc,FAbrGDGTIIIc',FAbrGDGTIIa,FAbrGDGTIIa',FAbrGDGTIIb,FAbrGDGTIIb',FAbrGDGTIIc,FAbrGDGTIIc',FAbrGDGTIa,FAbrGDGTIb,FAbrGDGTIc,ZhaoIWT,ageMedian
07CF8L4,25.25,25,0.5,EKT199,MCC147,moderate aquatic moss macrofossils,3,0.848,6.26,1.141,2.38,0.71,5.844,3.008,18.443,4.126,17.3,3.255,12.812,1.716,5.246,0.439,1.176,0.03,0.09,0.3,0.28,0.21,0.08,0.01,25.6,5.9,8,10,MCC147 FAME,-250.9,4,4,3,3.3,-251.6,1.3,4.6,3,2.7,-259.2,1.3,5.7,3,3.4,-247.8,0.9,4.8,3,2.8,-241.3,0.4,4.3,3,2.5,-244.6,1.3,4.2,3,2.5,13.8,3.7,H1801000235,100,556932,7142,2260,3633,NaN,NaN,NaN,NaN,20051,955,11969000,464227,61823,NaN,111887,12796,NaN,6757870,905050,589394,5544,21296,16695,NaN,2415010,83881,709063,9019,536989,588713,0.946,0.012,0.004,0.006,0,0,0.44,511.63,49.65,18502.1,23290308,0.514,0.02,0.003,0,0.001,0,0.29,0.039,0.025,0,0.001,0,0.104,0.004,0,4.617172,8609.207
07CF8L4,25.75,25.5,0.5,EKT198,MCC127,moderate aquatic moss macrofossils,3,1.065,6.82,1.626,2.041,1.063,6.883,5.081,26.979,6.316,22.793,4.579,14.596,2.339,5.925,0.676,1.333,0.03,0.09,0.33,0.28,0.18,0.08,0.02,25.5,3.7,1,13,MCC127 FAME,NaN,3.6,4.7,3,3.4,-254.9,0.6,4.1,3,2.4,-264.1,0.4,3.9,3,2.3,-244.2,0,3.6,3,2.1,-235,1.2,3.5,3,2.1,-240.4,12.6,4.5,3,7.7,26.7,3.2,H1801000195,100,928849,9814,3335,4873,NaN,NaN,1068,NaN,27973,549,15189600,507994,106322,16710,155228,27931,NaN,9777560,1241960,704558,NaN,36355,23142,NaN,3127840,105732,749011,12589,712174,973126,0.955,0.01,0.003,0.005,0,0,0.37,406.78,43.98,12405.59,30841939,0.492,0.016,0.003,0.001,0.001,0,0.317,0.04,0.023,0,0.001,0,0.101,0.003,0,4.467953,8627.344
07CF8L4,26.25,26,0.5,EKT197,MCC138,moderate aquatic moss macrofossils,3,1.128,8.47,0.057,1.239,0.142,2.01,0.281,2.873,0.362,2.481,0.231,2.269,0.138,0.823,0.063,0.266,0.12,0.16,0.21,0.19,0.17,0.09,0.06,24.9,2.5,10,4,MCC138 FAME,-240.2,1.2,4.4,3,2.7,-248.7,1.3,3.7,3,2.3,-237.3,0.9,3.7,3,2.2,-244.8,0.5,3.7,3,2.1,NaN,NaN,NaN,NaN,NaN,-249,3.3,4.3,3,3.2,NaN,NaN,H1801000176,100,1167770,8837,3615,6141,1051,NaN,1462,NaN,30731,578,16044800,719064,101344,16826,149611,27731,NaN,10468700,1083990,726374,NaN,49315,21948,NaN,3280100,102687,705022,9404,749374,1215518,0.961,0.007,0.003,0.005,0.001,0,0.36,385.71,55.2,10694.27,32602968,0.492,0.022,0.003,0.001,0.001,0,0.321,0.033,0.022,0,0.001,0,0.101,0.003,0,4.383632,8642.517
07CF8L4,26.75,26.5,0.5,EKT196,MCC152,some few aquatic moss macrofossils,2,1.273,7.09,1.254,1.786,0.927,5.926,4.255,25.032,6.031,22.878,4.172,14.881,1.793,5.222,0.393,1.091,0.02,0.07,0.34,0.31,0.2,0.06,0.01,25.6,5.1,2,13,MCC152 FAME,-247.5,2.3,3.9,3,2.6,-256,1.6,3.8,3,2.4,-263.1,1.5,3.6,3,2.3,-239.4,0.2,3.5,3,2.1,-226.8,1.4,3.5,3,2.2,-229,5.1,3.9,3,3.7,39.2,3.3,H1801000099,100,1264030,16412,7536,10250,1663,NaN,2164,3003,73328,NaN,17000600,1028450,183003,35934,201529,61247,NaN,10713900,1972310,780090,NaN,NaN,35385,NaN,3899930,168684,1081760,16705,776499,1366184,0.925,0.012,0.006,0.008,0.001,0,0.74,363.16,123.45,12983.12,35896239,0.474,0.029,0.005,0.001,0.002,0,0.298,0.055,0.022,0,0.001,0,0.109,0.005,0,5.201951,8658.917
07CF8L4,27.25,27,0.5,EKT195,EKT195,dropstone! Some few aquatic moss macrofossils,2,1.134,4.41,3.35,3.37,1.983,9.807,7.083,33.843,8.984,28.141,5.413,13.279,1.922,6.114,0.402,0.67,0.03,0.1,0.36,0.3,0.14,0.06,0,25.2,4,8,4,EKT195 FAME,-243,3.8,4.5,3,3.4,-250.2,0.9,4.3,3,2.5,-249.9,1.2,11.8,3,6.8,-232.5,1,7.4,3,4.3,-221.6,3.5,4.4,3,3.3,-226.1,3.2,4.4,3,3.1,38.2,4.1,H1712000010,100,473828,14667,6191,7055,NaN,NaN,1636,3313,74062,1475,9718090,482313,114159,17357,106362,38117,NaN,5488290,1087600,448261,NaN,33690,26355,NaN,2158290,114891,413673,14167,428158,572721,0.827,0.026,0.011,0.012,0,0,1.53,405.96,195.76,11406.03,19707891,0.493,0.024,0.006,0.001,0.002,0,0.278,0.055,0.023,0,0.001,0,0.11,0.006,0.001,5.316369,8674.5
07CF8L4,27.75,27.5,0.5,EKT194,MCC107,dropstone! No aquatic moss macrofossils,0,1.213,5.94,1.103,1.586,0.905,4.8,3.856,21.285,6.218,21.035,4.956,12.908,2.232,5.155,0.677,1.559,0.03,0.07,0.31,0.3,0.19,0.08,0.03,25.6,3.3,2,2,MCC107 FAME,-241.4,5.2,4,3,3.8,-246.8,2.9,3.9,3,2.8,-256.1,0.6,3.6,3,2.1,-235,0.2,3.5,3,2,-223.3,1.1,3.5,3,2.1,-229.5,4.2,3.9,3,3.3,31.2,3.5,H1801000257,100,462094,15109,7111,8506,NaN,NaN,1868,2788,70943,1380,10024700,558600,141034,20275,118990,43547,NaN,5540330,1172000,560151,16084,49197,29646,NaN,2294310,105038,607975,13491,492355,559900,0.825,0.027,0.013,0.015,0,0,1.19,343.45,165.69,12991.28,20519207,0.489,0.027,0.007,0.001,0.002,0,0.27,0.057,0.027,0.001,0.001,0,0.112,0.005,0.001,5.464909,8691.825
07CF8L4,28.25,28,0.5,EKT193,MCC150,fewer aquatic moss macrofossils,1,1.089,5.58,1.875,2.628,0.872,6.047,3.513,21.7,5.743,21.716,4.746,13.907,2.011,5.492,0.478,1.177,0.03,0.08,0.31,0.31,0.19,0.07,0.01,25.6,4.8,7,7,MCC150 FAME,-242.6,5.9,4.9,3,4.4,-251.9,0.8,4.1,3,2.4,-254.2,0,3.6,3,2.1,-237.2,0.3,3.6,3,2.1,-232,0.8,4.1,3,2.4,-231.2,3.5,5,3,3.5,26.6,3.4,H1801000222,100,507014,15100,6588,7818,NaN,NaN,1384,2494,64662,NaN,11067300,664803,162923,22788,137859,48498,NaN,6664820,1124280,760125,NaN,51999,33216,NaN,2736870,141281,564888,15494,625637,595978,0.851,0.025,0.011,0.013,0,0,0.95,344.09,133.31,11078.24,23442398,0.472,0.028,0.007,0.001,0.002,0,0.284,0.048,0.032,0,0.001,0,0.117,0.006,0.001,5.753507,8709.661
07CF8L4,28.75,28.5,0.5,EKT192,MCC122,fewer aquatic moss macrofossils,1,1.111,6.1,1.151,1.499,0.752,4.036,3.471,20.9,5.536,23.984,4.978,14.715,1.99,4.948,0.5,0.985,0.03,0.06,0.29,0.33,0.2,0.07,0.02,25.7,3.7,1,10,MCC122 FAME,NaN,0.9,4.8,3,2.8,-253,2.4,4.5,3,3,-263,0.9,3.6,3,2.2,-241.3,0.8,3.6,3,2.1,-232.5,2.3,3.5,3,2.4,-233.8,0.9,4.3,3,2.5,27.6,3.8,H1801000180,100,609889,12820,4794,7974,NaN,NaN,NaN,NaN,49600,NaN,11970000,635907,133153,22282,172994,33666,NaN,7965270,1082770,720699,NaN,45501,25764,NaN,3290390,151795,493695,14320,658188,680283,0.897,0.019,0.007,0.012,0,0,0.68,356.06,65.54,9735.89,26046015,0.46,0.024,0.005,0.001,0.001,0,0.306,0.042,0.028,0,0.001,0,0.126,0.006,0.001,6.207581,8726.038
07CF8L4,29.25,29,0.5,EKT191,MCC129,moderate aquatic moss macrofossils,3,1.113,7.17,0.896,5.609,1.069,10.51,3.449,26.63,5.843,30.126,5.25,24.824,2.772,10.002,0.953,2.833,0.05,0.1,0.24,0.27,0.22,0.09,0.03,25.6,5.1,4,9,MCC129 FAME,-251.5,3.1,6.4,3,4.1,-255.2,3.7,5.6,3,3.9,-253.5,1,3.5,3,2.1,-247.8,1.4,3.5,3,2.2,-250.6,2.4,3.6,3,2.5,-251.6,2.6,6.3,3,3.9,6.3,4.6,H1801000105,100,714019,12423,5095,7907,NaN,NaN,NaN,NaN,45800,1127,18339700,922543,127919,21757,207964,34405,NaN,11184700,1733370,874172,NaN,NaN,32511,NaN,4639650,216428,1131250,21041,734935,781275,0.914,0.016,0.007,0.01,0,0,0.56,466.18,62.26,16365.39,38148196,0.481,0.024,0.003,0.001,0.001,0,0.293,0.045,0.023,0,0.001,0,0.122,0.006,0.001,5.923563,8743.047
07CF8L4,29.75,29.5,0.5,EKT190,MCC116,moderate aquatic moss macrofossils,3,1.226,7.38,0.983,2.354,1.013,7.128,4.161,24.518,6.987,28.316,5.141,17.401,2.446,7.687,0.733,1.619,0.03,0.08,0.27,0.31,0.19,0.09,0.02,25.7,3.9,1,7,MCC116 FAME,NaN,9.1,5.1,3,6,-246.5,2.8,3.6,3,2.6,-255.7,0.9,3.8,3,2.2,-242.2,0.6,3.8,3,2.2,-231.9,1.3,3.5,3,2.2,-231.8,2.1,4.3,3,2.8,19.3,3.4,H1712000038,100,595504,7739,3251,5124,NaN,NaN,1354,NaN,34139,615,8686500,506371,58036,10594,77803,17956,NaN,4816180,1053440,384857,NaN,49267,13033,NaN,1974110,98348,400943,7993,323945,644474,0.924,0.012,0.005,0.008,0,0,0.86,443.79,81.86,13293.19,17627417,0.493,0.029,0.003,0.001,0.001,0,0.273,0.06,0.022,0,0.001,0,0.112,0.006,0,5.478037,8761.984
