publication,doi,region,site_name,sample_id,sample_year,plant_name,genus,species,growth_form,habitat,lat,lon,elevation,cat,n_samples,conc_ugg_plant,c20_fconc,c21_fconc,c22_fconc,c23_fconc,c24_fconc,c25_fconc,c26_fconc,c27_fconc,c28_fconc,c29_fconc,c30_fconc,c31_fconc,c32_fconc,c20_fd2h,c20_fd2h_unc,c22_fd2h,c22_fd2h_unc,c24_fd2h,c24_fd2h_unc,c26_fd2h,c26_fd2h_unc,c28_fd2h,c28_fd2h_unc,c30_fd2h,c30_fd2h_unc,c32_fd2h,c32_fd2h_unc,c20_fd13c,c20_fd13c_unc,c22_fd13c,c22_fd13c_unc,c24_fd13c,c24_fd13c_unc,c26_fd13c,c26_fd13c_unc,c28_fd13c,c28_fd13c_unc,c30_fd13c,c30_fd13c_unc,c32_fd13c,c32_fd13c_unc,c21_aconc,c22_aconc,c23_aconc,c24_aconc,c25_aconc,c26_aconc,c27_aconc,c28_aconc,c29_aconc,c30_aconc,c31_aconc,c32_aconc,c33_aconc,c21_ad2h,c21_ad2h_unc,c23_ad2h,c23_ad2h_unc,c25_ad2h,c25_ad2h_unc,c27_ad2h,c27_ad2h_unc,c29_ad2h,c29_ad2h_unc,c31_ad2h,c31_ad2h_unc,c33_ad2h,c33_ad2h_unc,c21_ad13c,c21_ad13c_unc,c23_ad13c,c23_ad13c_unc,c25_ad13c,c25_ad13c_unc,c27_ad13c,c27_a13c_unc,c29_ad13c,c29_ad13c_unc,c31_ad13c,c31_ad13c_unc,c33_ad13c,c33_ad13c_unc
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR3 VAUL,2014,Vaccinium uliginosum,Vaccinium,uliginosum,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.12,1.69,5.25,4.11,9.55,7.25,15.64,1,1.22,0.11,0.33,0,0,nan,nan,nan,nan,-185.73,1.48,-193.57,0.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR4 VAUL,2014,Vaccinium uliginosum,Vaccinium,uliginosum,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.75,0.99,3.41,3.38,9.05,1.89,16.39,0.8,1.63,0.16,0.93,0.11,0.21,nan,nan,nan,nan,-189.48,0.23,-200.82,0.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR5 VAUL,2014,Vaccinium uliginosum,Vaccinium,uliginosum,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.19,1.76,5.74,5.58,20.37,11.22,30.43,1.6,1.64,0.16,0.29,0.1,0.11,nan,nan,nan,nan,-183.45,0.36,-184.08,0.91,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR6 VAUL,2014,Vaccinium uliginosum,Vaccinium,uliginosum,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.83,7.9,6.91,24.44,4.84,25.96,1.42,1.61,0,0,0,0,nan,nan,nan,nan,-185.89,0.53,-188.44,1.78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR8 VAUL,2014,Vaccinium uliginosum,Vaccinium,uliginosum,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.04,1.69,5.54,4.16,18.62,2.23,12.33,0.48,1.31,0.16,0.73,0,0,nan,nan,-189.37,0.13,-193.32,0.66,-193.56,0.42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH213,2019,Vaccinium uliginosum,Vaccinium,uliginosum,shrub,terrestrial,63.68,-68.2,33,2,1,1,250.17,12.07,69.3,15.93,87.14,19.06,59.72,14.28,59.96,6.96,8.55,5.68,0,nan,nan,-204.65,2.76,-200.41,2.58,-191.98,2.63,-186.99,2.69,nan,nan,nan,nan,nan,nan,-33.35,0.22,-31.54,0.24,-32.17,0.21,-32.59,0.21,nan,nan,nan,nan,4.28,1.44,6.27,9.39,26.72,6.25,64.42,4.75,12.2,0.82,0.62,0,0.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH257,2019,Vaccinium uliginosum,Vaccinium,uliginosum,shrub,terrestrial,63.68,-68.2,33,2,1,1,1202.78,17.23,287.13,38.61,527.13,51.48,288,34.21,343.35,50.4,55.87,0,0,nan,nan,-181.25,2.8,-177.91,2.78,-166.77,2.69,-163.67,2.59,nan,nan,nan,nan,nan,nan,-32.18,0.22,-33.32,0.21,-33.63,0.22,-34.11,0.23,nan,nan,nan,nan,2.02,0.91,5.88,7.71,36.08,6.29,83.37,1.62,13.09,4.13,1.26,0,0.57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH258,2019,Vaccinium uliginosum,Vaccinium,uliginosum,shrub,terrestrial,63.68,-68.2,33,2,1,1,1092.64,9.22,202.3,29.12,250.01,47.23,283.07,37.38,314.14,49.47,55.09,0,0,nan,nan,-185.55,2.65,-184.26,2.67,-175.13,2.61,-175.12,2.65,nan,nan,nan,nan,nan,nan,-31.42,0.23,-31.29,0.23,-32.52,0.25,-33.09,0.23,nan,nan,nan,nan,1.86,0.37,0.48,5.53,29.39,5.33,64.27,0.31,10.84,4.84,1.84,0,1.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-070,2019,Vaccinium uliginosum,Vaccinium,uliginosum,shrub,terrestrial,58.1,-68.46,61,2,1,1,117.26,13.51,24.48,15.5,55.74,15.5,114.26,15.84,115.59,11.18,16.5,9.52,10.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.02,6.97,7.53,6.06,10.75,7.13,19.47,8.28,14.35,5.89,4.52,4.19,4.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-131,2021,Vaccinium uliginosum,Vaccinium,uliginosum,shrub,terrestrial,58.1,-68.46,61,2,1,1,0.97,0.16,6.37,0.17,0.68,0.27,1.94,0.42,3.6,0.38,4.02,0.15,0.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.65,0.7,2.64,2.62,8.73,3.93,26.48,1.89,7.85,2.13,1.04,0.33,0.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
