publication,doi,region,site_name,sample_id,sample_year,plant_name,genus,species,growth_form,habitat,lat,lon,elevation,cat,n_samples,conc_ugg_plant,c20_fconc,c21_fconc,c22_fconc,c23_fconc,c24_fconc,c25_fconc,c26_fconc,c27_fconc,c28_fconc,c29_fconc,c30_fconc,c31_fconc,c32_fconc,c20_fd2h,c20_fd2h_unc,c22_fd2h,c22_fd2h_unc,c24_fd2h,c24_fd2h_unc,c26_fd2h,c26_fd2h_unc,c28_fd2h,c28_fd2h_unc,c30_fd2h,c30_fd2h_unc,c32_fd2h,c32_fd2h_unc,c20_fd13c,c20_fd13c_unc,c22_fd13c,c22_fd13c_unc,c24_fd13c,c24_fd13c_unc,c26_fd13c,c26_fd13c_unc,c28_fd13c,c28_fd13c_unc,c30_fd13c,c30_fd13c_unc,c32_fd13c,c32_fd13c_unc,c21_aconc,c22_aconc,c23_aconc,c24_aconc,c25_aconc,c26_aconc,c27_aconc,c28_aconc,c29_aconc,c30_aconc,c31_aconc,c32_aconc,c33_aconc,c21_ad2h,c21_ad2h_unc,c23_ad2h,c23_ad2h_unc,c25_ad2h,c25_ad2h_unc,c27_ad2h,c27_ad2h_unc,c29_ad2h,c29_ad2h_unc,c31_ad2h,c31_ad2h_unc,c33_ad2h,c33_ad2h_unc,c21_ad13c,c21_ad13c_unc,c23_ad13c,c23_ad13c_unc,c25_ad13c,c25_ad13c_unc,c27_ad13c,c27_a13c_unc,c29_ad13c,c29_ad13c_unc,c31_ad13c,c31_ad13c_unc,c33_ad13c,c33_ad13c_unc
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH197,2019,Alantoparmelia alpicola,Alantoparmelia,alpicola,lichen,terrestrial,63.68,-68.2,33,8,1,1,6.52,2.56,5.64,2.83,5.69,2.47,4,2.14,3.31,2.05,2.29,0,2.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.47,0.36,0.79,0.29,0.79,0.19,0.83,0.23,0.88,0.1,0.71,0.03,0.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Campbell_Lake,CL_S1,2014,Alnus sp.,Alnus,sp.,shrub,terrestrial,68.21,-133.41,46,2,3,1,12.67,2.12,57.78,13.06,112.85,22.89,130.3,16.17,88.65,3.01,15.76,3.37,1.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Eagle_Plains,EAG_S1,2014,Alnus sp.,Alnus,sp.,shrub,terrestrial,66.44,-136.68,370,2,3,1,24.14,2.68,88.58,8.19,124.09,16.05,161.65,19.84,166.35,3.34,10.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-123,2021,Alnus viridis,Alnus,viridis,shrub,terrestrial,58.1,-68.46,61,2,1,1,88.66,12.18,122.28,13.94,79.77,14.94,34.04,19.04,62.14,12.24,14.62,9.36,11.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.35,1.1,5.87,2.3,57.38,6.56,214.47,8.67,45.56,2.56,56.37,5.21,36.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-124,2021,Alnus viridis,Alnus,viridis,shrub,terrestrial,58.1,-68.46,61,2,1,1,158.49,14.4,156.96,16.45,92.06,17.85,49.84,23.22,105.09,17.83,21.3,10.72,14.78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.63,1.94,17.4,4.02,76.28,7.93,239.27,13.49,69.48,3.89,84.17,6.12,54.83,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-125,2021,Alnus viridis,Alnus,viridis,shrub,terrestrial,58.1,-68.46,61,2,1,1,93.59,10.45,93.86,11.77,48.25,13.06,35.84,15.37,68.04,12.69,12.27,7.45,8.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.68,0.93,3.54,2.88,54,6.66,211.58,8.47,64.36,6.33,111.18,6.93,47.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Dalton_Highway,S2_ALVI,2016,Alnus viridis,Alnus,viridis,shrub,terrestrial,65.5,-148.69,343,2,1,0,nan,nan,10,nan,20,nan,20,nan,40,nan,0,nan,0,nan,nan,-221,2,-207,1,-211,0,-222,1,-212,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10,nan,80,nan,10,nan,10,nan,0,nan,nan,nan,nan,-204,0,-224,1,nan,nan,-198,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Finger_Mountain,S4_ALVI,2016,Alnus viridis,Alnus,viridis,shrub,terrestrial,66.36,-150.46,642,2,1,0,nan,nan,0,nan,0,nan,30,nan,70,nan,0,nan,0,nan,nan,nan,nan,nan,nan,-232,1,-235,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10,nan,70,nan,10,nan,10,nan,0,nan,nan,nan,nan,-213,2,-235,0,nan,nan,-209,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Coldfoot,S6_ALVI,2016,Alnus viridis,Alnus,viridis,shrub,terrestrial,67.32,-150.15,347,2,1,0,nan,nan,0,nan,0,nan,30,nan,70,nan,0,nan,0,nan,nan,nan,nan,nan,nan,-214,1,-226,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10,nan,80,nan,0,nan,10,nan,0,nan,nan,nan,nan,-218,1,-230,1,nan,nan,-203,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,KRL-057,2019,Andreaea blytti,Andreaea,blytti,moss,terrestrial,70.56,-68.95,195,6,1,1,19.74,1.66,86.23,5.68,301.17,8.49,144.69,2.06,19.94,0,0.46,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.43,3.8,83.18,6.37,17.29,7.06,22.01,3.38,22.79,1.18,3.26,0.91,1.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,KRL-094,2019,Andreaea blytti,Andreaea,blytti,moss,terrestrial,70.56,-68.95,195,6,1,1,189.23,1.52,711.35,48.46,2383.25,71,1122.43,8.8,133.68,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.95,5.72,35.04,5.33,92.01,3.69,48.06,1.46,10.22,0,1.74,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,KRL-095,2019,Andreaea blytti,Andreaea,blytti,moss,terrestrial,70.56,-68.95,195,6,1,1,64.04,29.7,174.04,44.23,550.18,52.06,282.29,32.34,58.47,25.92,62.57,24.95,24.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.97,11.61,185.68,16.13,586.37,12.3,253.47,5.01,40.11,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,KRL-059,2019,Andreaea rupestris,Andreaea,rupestris,moss,terrestrial,70.56,-68.95,195,6,1,1,2.88,0.34,9.11,0.61,4.97,0.09,0.79,0.01,0.94,0,0.21,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.85,11.01,22.35,6.59,29.54,7.43,54.72,5.26,13.58,1.73,2.75,1.41,1.41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-083,2019,Andreaea rupestris,Andreaea,rupestris,moss,terrestrial,58.1,-68.46,61,6,1,1,34.04,5.93,63.36,11.43,57.41,6.23,17.69,4.42,14.37,2.84,4.34,2.38,3.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.97,1.93,5.96,1.78,38.3,2.62,35.87,0.88,24.03,1.29,41.22,0,10.98,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Balascio_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.03.008,northern Norway,Hollabattjonnen,Balascio_11,2013,Andromeda polifolia,Andromeda,polifolia,shrub,terrestrial,69.74,19.13,25,2,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02,nan,0.32,nan,2.34,nan,8.61,nan,49.94,nan,36.95,nan,1.83,nan,nan,nan,nan,nan,nan,-197,5,-165,3,-164,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,KRL-061,2019,Anthelia juratzkana,Anthelia,juratzkana,liverwort,terrestrial,70.56,-68.95,195,7,1,1,58.34,42.74,57.28,9.03,46.84,7.44,18.68,3.61,9.95,1.62,3.74,0,0,nan,nan,-227.78,5.47,-205.71,3.8,-205.48,3.37,-167.56,4.35,nan,nan,nan,nan,nan,nan,-30.14,0.12,-31.89,0.2,-35.44,0.24,-37.74,0.55,nan,nan,nan,nan,12.79,9.19,14.9,9.46,14.31,8.77,13.22,6.69,9.4,3.21,4.89,2.46,2.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,KRL-092,2019,Anthelia juratzkana,Anthelia,juratzkana,liverwort,terrestrial,70.56,-68.95,195,7,1,1,3.91,1.12,5.31,1.41,4.74,1.03,2.04,1.09,0.55,0.38,0.41,0.33,0.34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.32,18.89,33.33,10.84,13.41,5.06,8.26,1.71,5.01,0,1.87,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,CF8,KRL-093,2019,Anthelia juratzkana,Anthelia,juratzkana,liverwort,terrestrial,70.56,-68.95,195,7,1,1,8.09,2.83,10.13,4.04,10.24,3.42,4.99,2.21,2.91,1.48,1.63,1.12,1.19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-28.91,0.1,-28.22,0.12,-30.7,0.17,-33,0.34,nan,nan,nan,nan,20.01,18.96,30.97,15.93,23.35,11.7,19.59,5.33,11.18,0.07,3.93,2.06,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,AFR,KVH235,2019,Anthelia juratzkana,Anthelia,juratzkana,liverwort,terrestrial,72.42,-77.44,895,7,1,1,7.31,1.16,5.73,1.39,6.11,1.2,2.47,0.52,0.96,0.39,0.53,0.21,0.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.05,8.5,14.38,8.27,13,6.97,12.1,7.02,10.17,4.32,8.35,3.65,4.69,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH206,2019,Arctoparmolia incurva,Arctoparmolia,incurva,lichen,terrestrial,63.68,-68.2,33,8,1,1,2.15,0.38,0.83,0.42,0.8,0.32,0.49,0.27,0.43,0.25,0.32,0,0.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04,0.03,0.06,0.01,0.08,0.01,0.08,0.04,0.09,0.01,0.07,0,0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Yukon_River,S3_ARRU,2016,Arctostaphylos rubra,Arctostaphylos,rubra,shrub,terrestrial,65.92,-149.83,166,2,1,0,nan,nan,0,nan,0,nan,30,nan,40,nan,0,nan,0,nan,nan,nan,nan,nan,nan,-223,0,-224,0,-224,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,20,nan,70,nan,10,nan,nan,nan,nan,nan,nan,nan,nan,-225,1,-231,1,-225,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Happy_Valley,S9_ARRU,2016,Arctostaphylos rubra,Arctostaphylos,rubra,shrub,terrestrial,69.24,-148.77,233,2,1,0,nan,nan,0,nan,50,nan,30,nan,20,nan,0,nan,0,nan,nan,nan,nan,-226,0,-243,2,-242,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10,nan,70,nan,10,nan,0,nan,0,nan,nan,nan,nan,-187,0,-240,2,-217,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oconnor_et_al_2020,https://doi.org/10.1016/j.orggeochem.2020.104064,AK transect,Happy_Valley,S9_ARRU2,2016,Arctostaphylos rubra,Arctostaphylos,rubra,shrub,terrestrial,69.24,-148.77,233,2,1,0,nan,nan,0,nan,0,nan,20,nan,40,nan,30,nan,0,nan,nan,nan,nan,nan,nan,-216,4,-227,2,-229,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,30,nan,60,nan,10,nan,nan,nan,nan,nan,nan,nan,nan,-227,0,-234,1,-229,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wilkie_et_al_2013,https://doi.org/10.5194/cp-9-335-2013,Far East Russia,Elgygytgyn,Wilkie_5,2003,Atermisia,Artemisia,sp.,forb,terrestrial,67.5,172.1,492,3,1,0,7.5,nan,19.1,nan,21.6,nan,7.3,nan,7.9,nan,2.6,nan,nan,-225,5,-246,1,-249,2,-253,1,-257,1,-242,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Zibulski_et_al_2017,https://doi.org/10.5194/bg-14-1617-2017,Northeast Russia,Northeast_Russia,Aul_pal_1,2011,Aulacomnium palustre,Aulacomnium,palustre,moss,terrestrial,71,99.5,0,6,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.9298,nan,2.5459,nan,4.7646,nan,20.5085,nan,7.5826,nan,7.979,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Zibulski_et_al_2017,https://doi.org/10.5194/bg-14-1617-2017,Northeast Russia,Northeast_Russia,Aul_pal_2,2011,Aulacomnium palustre,Aulacomnium,palustre,moss,terrestrial,71,99.5,0,6,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0767,nan,1.5183,nan,2.9728,nan,12.3293,nan,11.0909,nan,4.9109,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH215,2019,Aulacomnium turgidum,Aulacomnium,turgidum,moss,terrestrial,63.68,-68.2,33,6,1,1,119.58,13.35,274.71,22.22,459.12,19.89,83.23,10.48,30.08,7.27,10.76,0,7.13,nan,nan,-227.68,2.6,-222.91,2.63,-207.42,3.4,-185.61,5.01,nan,nan,nan,nan,nan,nan,-33.92,0.1,-34.59,0.08,-35.37,0.03,-35.87,0.06,nan,nan,nan,nan,2.33,0.39,5.31,1.79,9.61,2.84,37.57,0.22,48.57,1.56,7.87,1.21,2.47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Zibulski_et_al_2017,https://doi.org/10.5194/bg-14-1617-2017,Northeast Russia,Northeast_Russia,Aul_tur_1,2011,Aulacomnium turgidum,Aulacomnium,turgidum,moss,terrestrial,71,99.5,0,6,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.968,nan,1.126,nan,2.2001,nan,8.9548,nan,23.5267,nan,3.5595,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Zibulski_et_al_2017,https://doi.org/10.5194/bg-14-1617-2017,Northeast Russia,Northeast_Russia,Aul_tur_2,2011,Aulacomnium turgidum,Aulacomnium,turgidum,moss,terrestrial,71,99.5,0,6,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3468,nan,1.2794,nan,4.8797,nan,18.7427,nan,50.9291,nan,5.5645,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH205,2019,Betula glandulosa,Betula,glandulosa,shrub,terrestrial,63.68,-68.2,33,2,1,1,21.23,2.6,57.43,2.93,22.81,2.22,7.94,2.31,16.1,1.46,2.05,0,1.21,nan,nan,-227.72,2.74,-200.84,3.12,-177.09,3.21,-180.68,2.94,nan,nan,nan,nan,nan,nan,-30.66,0.21,-31.38,0.12,-32.97,0.19,-33.2,0.1,nan,nan,nan,nan,1.72,1.39,6.78,2.06,12.74,3.07,78.61,3.54,22.5,2.57,27.18,1.75,3.58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH247,2019,Betula glandulosa,Betula,glandulosa,shrub,terrestrial,63.68,-68.2,33,2,1,1,59.74,6.34,93.07,6.9,33.38,6.5,31.32,9.12,68.4,4.34,6.37,0,3.45,nan,nan,-207.97,3.02,-187.93,3.15,-190.9,2.89,-197.18,2.63,nan,nan,nan,nan,nan,nan,-31.8,0.23,-37.27,0.22,-34.75,0.21,-36.8,0.22,nan,nan,nan,nan,1.7,0.85,35.6,4.3,61.93,2.92,289.65,2.38,110.4,0.13,181.9,0.16,19.65,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hollister_et_al_2022,https://doi.org/10.1029/2022JG006903,Baffin Island,QPT,KVH248,2019,Betula glandulosa,Betula,glandulosa,shrub,terrestrial,63.68,-68.2,33,2,1,1,72.67,10.92,127.93,12.2,61.99,12.96,58.4,15.61,101.46,8.25,10.54,0,6.41,nan,nan,-214.65,2.83,-193.74,2.69,-196.01,2.71,-194.28,2.64,nan,nan,nan,nan,nan,nan,-32.18,0.21,-35.5,0.22,-35.35,0.21,-32.64,0.22,nan,nan,nan,nan,4.41,2.62,57.31,11.04,132.24,10.71,426.58,6.41,157.46,10.82,359.81,4.79,40.29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-062,2019,Betula glandulosa,Betula,glandulosa,shrub,terrestrial,58.1,-68.46,61,2,1,1,140.54,19.43,228.72,23.2,140.2,23.54,102.46,25.95,156.67,12.57,16,9.82,10.51,nan,nan,-220.56,4.14,-211.5,3.55,-203.6,3.33,-191.79,3.35,nan,nan,nan,nan,nan,nan,-29.2,0.13,-29.48,0.18,-30.5,0.12,-30.08,0.16,nan,nan,nan,nan,8.95,10.7,84.2,20.44,129.47,32.26,407.19,15.65,183.11,23.72,370.39,13.55,41.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-098,2021,Betula glandulosa,Betula,glandulosa,shrub,terrestrial,58.1,-68.46,61,2,1,1,168.34,9.53,229.72,14.06,131.27,14.47,99.75,18.8,220.04,3.15,8.29,0,0,nan,nan,-241.04,3.52,-217.41,3.64,-216.82,6.12,-225.32,3.29,nan,nan,nan,nan,nan,nan,-31.8,0.24,-32.72,0.16,-33.46,0.12,-34.17,0.19,nan,nan,nan,nan,0,0,86.79,16.38,139.88,26.85,528.05,19.63,202.13,28.64,301.84,0,31.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lindberg_et_al,https://doi.org/10.5194/egusphere-2025-3849,Baffin Island,3LN,KRL-099,2021,Betula glandulosa,Betula,glandulosa,shrub,terrestrial,58.1,-68.46,61,2,1,1,199.81,11.41,320.7,13.04,136.7,12.53,97.45,16.49,233.58,1.81,9.98,0,0,nan,nan,-215.27,3.67,-203.17,3.6,-194.07,3.47,-191.7,3.37,nan,nan,nan,nan,nan,nan,-31.91,0.25,-32.26,0.21,-33.06,0.13,-33.32,0.15,nan,nan,nan,nan,0,0,93.04,17.58,215.59,54.73,1290.35,25.32,582.66,45.7,1397.64,30.54,199.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
